ticker,current_shares,latest_price,current_value,current_weight_pct,stored_historical_position_pct,weight_difference_pct,single_stock_default_cap_pct,single_stock_hard_cap_pct,concentration_status,current_research_score,current_recommendation_label,portfolio_fit_score,price_timestamp,price_source,price_quality_label,account_total_value,account_state_updated,weight_formula
IOT,5.0000,35.34,176.70,7.2347,29.59,-22.3553,6.00,8.00,above_default_cap,7.09,hold_existing,6.0,2026-07-27T19:01:25-04:00,yfinance_public_market_data,ok,2442.39,2026-07-23T23:20:05-04:00,current_shares*latest_price/account_total_value*100
RBRK,2.0000,74.82,149.64,6.1268,17.75,-11.6232,6.00,8.00,above_default_cap,7.15,hold_existing,6.0,2026-07-27T19:01:25-04:00,yfinance_public_market_data,ok,2442.39,2026-07-23T23:20:05-04:00,current_shares*latest_price/account_total_value*100
