timestamp,cycle_id,local_now,scheduled_due_time,decision,reason,c7_invoked,c7_return_code,sent_rows_before,sent_rows_after,send_delta,lock_acquired,active_workflow,active_pipeline,safety_notes
2026-07-18T03:00:18-04:00,2026-W29,2026-07-18T03:00:18-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T10:06:30-04:00,2026-W29,2026-07-18T10:06:30-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T11:17:34-04:00,2026-W29,2026-07-18T11:17:34-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T11:32:33-04:00,2026-W29,2026-07-18T11:32:33-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T11:47:33-04:00,2026-W29,2026-07-18T11:47:33-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T12:02:36-04:00,2026-W29,2026-07-18T12:02:36-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T12:17:36-04:00,2026-W29,2026-07-18T12:17:36-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T12:32:37-04:00,2026-W29,2026-07-18T12:32:37-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T12:47:37-04:00,2026-W29,2026-07-18T12:47:37-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T13:02:38-04:00,2026-W29,2026-07-18T13:02:38-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T13:17:38-04:00,2026-W29,2026-07-18T13:17:38-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T13:32:39-04:00,2026-W29,2026-07-18T13:32:39-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T13:47:39-04:00,2026-W29,2026-07-18T13:47:39-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T14:02:40-04:00,2026-W29,2026-07-18T14:02:40-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T14:17:40-04:00,2026-W29,2026-07-18T14:17:40-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T14:32:41-04:00,2026-W29,2026-07-18T14:32:41-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T14:47:41-04:00,2026-W29,2026-07-18T14:47:41-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T15:02:42-04:00,2026-W29,2026-07-18T15:02:42-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
