timestamp,phase,action,mode,target_cycle,current_cycle,active_workflow,active_pipeline,d3_loaded,successful_send_exists,c6_validation,failed_attempt_present,recovery_count_before,recovery_count_after,attempt_guard_cleared,c7_invoked,email_sent,status,reason,safety_notes
2026-07-18T17:59:02-04:00,phase5r_d3g,check_failed_cycle_recovery,check_only,2026-W28,2026-W29,weekly_conviction,phase5r_c7,yes,yes,not_run,unknown,0,0,no,no,no,refused,successful_c6_send_already_exists_for_cycle,manual_recovery_only=yes; c6_compose_validation_only=yes; successful_send_guard_preserved=yes
2026-07-18T17:59:03-04:00,phase5r_d3g,check_failed_cycle_recovery,check_only,2026-W29,2026-W29,weekly_conviction,phase5r_c7,yes,no,passed,yes,0,0,no,no,no,complete,eligible_for_one_manual_recovery_reset,manual_recovery_only=yes; c6_compose_validation_only=yes; successful_send_guard_preserved=yes
2026-07-18T18:11:25-04:00,phase5r_d3g,reset_failed_cycle_after_fix,reset,2026-W29,2026-W29,weekly_conviction,phase5r_c7,yes,no,passed,yes,0,1,yes,no,no,complete,one_manual_retry_authorized_for_current_cycle,manual_recovery_only=yes; c6_compose_validation_only=yes; successful_send_guard_preserved=yes
